Year,Amount
1960,27359
1961,29229
1962,31907
1963,34727
1964,38544
1965,41957
1966,46254
1967,51780
1968,58755
1969,66215
1970,74853
1971,83240
1972,93141
1973,103365
1974,117157
1975,133585
1976,153011
1977,173979
1978,195528
1979,221658
1980,255784
1981,296739
1982,334699
1983,368986
1984,406512
1985,444608
1986,476891
1987,519116
1988,581697
1989,647465
1990,724277
1991,791524
1992,857907
1993,921496
1994,972698
1995,1027448
1996,1081876
1997,1142705
1998,1209094
1999,1286685
2000,1377972
2001,1494559
2002,1638146
2003,1778327
2004,1905725
2005,2034816
2006,2167163
2007,2303947
2008,2414143
2009,2505829
2010,2604131
2011,2705302
2012,2817317
2013,2919137
